product_id,total_units,total_revenue,avg_price,Revenue_%,Cumulative_%,ABC_Class
bb50f2e236e5eea0100680137654686c,194,63560.0,327.62886597938143,0.48225395178224534,0.48225395178224534,A
6cdd53843498f92890544667809f1595,153,53652.299999999996,350.66862745098035,0.4070804546445336,0.889334406426779,A
d6160fb7873f184099d9bc95e30376af,33,45949.35,1392.4045454545453,0.34863523630153415,1.2379696427283131,A
d1c427060a0f73f6b889a5c7c61f2ac4,332,45620.56,137.4113253012048,0.3461405812227663,1.5841102239510794,A
99a4788cb24856965c36a24e339b6058,477,42049.66,88.15442348008386,0.3190468015434205,1.9031570254944998,A
3dd2a17168ec895c781a9191c1e95ad7,272,40782.8,149.93676470588235,0.30943465174236867,2.2125916772368686,A
25c38557cf793876c5abdd5931f922db,38,38907.32,1023.8768421052631,0.2952046699694208,2.5077963472062894,A
5f504b3a1c75b73d6151be81eb05bdc9,63,37733.9,598.9507936507937,0.28630148507168135,2.794097832277971,A
53b36df67ebb7c41585e8d54d6772e08,321,37454.63,116.68109034267911,0.28418255711204904,3.0782803893900197,A
aca2eb7d00ea1a7b8ebd4e68314663af,520,37104.3,71.35442307692308,0.28152446984131474,3.3598048592313345,A
e0d64dcfaa3b6db5c54ca298ae101d05,193,31621.82,163.84362694300518,0.23992680392616172,3.5997316631574963,A
d285360f29ac7fd97640bf0baef03de0,119,30573.91,256.9236134453781,0.2319759112481861,3.8317075744056823,A
7a10781637204d8d10485c71a6108a2e,141,30044.5,213.08156028368793,0.22795907574451965,4.059666650150202,A
f1c7f353075ce59d8a6f3cf58f419c9c,153,29792.36,194.7213071895425,0.2260459934380002,4.2857126435882025,A
f819f0c84a64f02d3a5606ca95edd272,44,28451.58,646.6268181818182,0.21587298441549238,4.501585628003695,A
588531f8ec37e7d5ff5b7b22ea0488f8,20,28291.99,1414.5995,0.21466211424297932,4.716247742246674,A
422879e10f46682990de24d770e7f83d,484,26577.22,54.911611570247935,0.20165150050953629,4.91789924275621,A
16c4e87b98a9370a9cbc3a4658a3f45b,13,25034.0,1925.6923076923076,0.1899425020282682,5.107841744784478,A
a62e25e09e05e6faf31d90c6ec1aa3d1,224,23835.0,106.40625,0.18084523191834198,5.28868697670282,A
5a848e4ab52fd5445cdc07aab1c40e48,190,23368.1,122.99,0.177302683616153,5.465989660318973,A
2b4609f8948be18874494203496bc318,255,22277.27,87.36184313725491,0.1690261405352432,5.635015800854217,A
a5215a7a9f46c4185b12f38e9ddf2abc,17,21739.9,1278.8176470588237,0.1649489094768854,5.7999647103311025,A
bc4cd4da98dd128c39bf0b8c2674032f,17,21499.59,1264.6817647058824,0.16312558589046638,5.963090296221569,A
389d119b48cf3043d311335e499d9c6b,390,21336.79,54.70971794871795,0.16189036022416448,6.124980656445734,A
368c6c730842d78016ad823897a372db,388,21056.8,54.2701030927835,0.15976596935003748,6.284746625795772,A
53759a2ecddad2bb87a079a1f1519f73,373,20387.2,54.657372654155495,0.15468545886996524,6.439432084665737,A
461f43be3bdf8844e65b62d9ac2c7a5a,144,20324.22,141.14041666666668,0.15420760559930374,6.59363969026504,A
fd0065af7f09af4b82a0ca8f3eed1852,10,19999.9,1999.9900000000002,0.1517468661146905,6.745386556379731,A
1dec4c88c685d5a07bf01dcb0f8bf9f8,35,19965.0,570.4285714285714,0.1514820665093223,6.896868622889053,A
52c80cedd4e90108bf4fa6a206ef6b03,115,19957.57,173.54408695652174,0.1514256922666895,7.048294315155743,A
6f3b5b605d91b7439c5e3f5a8dffeea7,116,18844.4,162.45172413793105,0.1429796470888191,7.191273962244562,A
19c91ef95d509ea33eda93495c4d3481,154,18643.46,121.06142857142856,0.14145503870192289,7.332729000946485,A
1a080577618e7fe4d9ddd8fb2b47a964,32,18262.96,570.7175,0.13856804013909807,7.471297041085583,A
165f86fe8b799a708a20ee4ba125c289,104,16962.96,163.1053846153846,0.1287044445236651,7.600001485609248,A
fb01a5fc09b9b9563c2ee41a22f07d54,23,16101.89,700.0821739130434,0.12217117815706446,7.722172663766312,A
e7cc48a9daff5436f63d3aad9426f28b,89,15536.0,174.56179775280899,0.11787755498566649,7.840050218751978,A
e53e557d5a159f5aa2c5e995dfdf244b,181,15263.44,84.32839779005525,0.11580953835417233,7.9558597571061505,A
a04087ab6a96ffa041f8a2701a72b616,24,15186.0,632.75,0.11522197155074224,8.071081728656893,A
d5991653e037ccb7af6ed7d94246b249,103,15111.82,146.7166990291262,0.11465913961016315,8.185740868267056,A
470433f95ba906e17efac3fce39e9ffd,5,14999.449999999999,2999.89,0.11380654557992761,8.299547413846984,A
601a360bd2a916ecef0e88de72a6531a,117,14899.830000000002,127.34897435897437,0.11305069066053575,8.41259810450752,A
c4baedd846ed09b85f78a781b522f126,148,14869.029999999999,100.4664189189189,0.11281699931826239,8.525415103825782,A
431d674f9a4fbd0957ecf6ba3fcb6899,53,14818.43,279.5930188679245,0.11243307782738479,8.637848181653167,A
7814c273ab16783d73a9863ebfa8b141,62,14772.0,238.25806451612902,0.11208079571628897,8.749928977369455,A
87feb07adc221a4c6cdf051ea1afd0ff,7,14770.0,2110.0,0.1120656209538037,8.861994598323259,A
f49e985b4cb2d0543890d6dd00077663,19,14590.0,767.8947368421053,0.11069989233012836,8.972694490653387,A
af51d485dc5255ba2e18b21b550156e6,55,14483.31,263.3329090909091,0.10989039462535102,9.082584885278738,A
35afc973633aaeb6b877ff57b2793310,162,14227.19,87.82216049382717,0.10794711454148588,9.190531999820225,A
