product_id,total_units,total_revenue,avg_price,avg_daily_demand,std_daily_demand,Annual_Demand,Unit_Cost,Holding_Cost,EOQ,Orders_per_Year,Annual_Ordering_Cost,Annual_Holding_Cost,Total_Inventory_Cost,Safety_Stock,ROP,Max_Inventory,Avg_Inventory,Current_Cost,Proposed_Cost,Savings,Savings_%,Mean_Lead_Time_Demand,Z_score_current,Stockout_Risk_Current,Z_score_new,Stockout_Risk_New
aca2eb7d00ea1a7b8ebd4e68314663af,520,37104.3,71.35442307692308,3.0409356725146197,2.3221610754948756,315.8069883527454,71.35442307692308,14.270884615384617,66.52737972858145,4.747022799352319,474.7022799352319,474.70227993523173,949.4045598704636,10.13737017148965,31.423919879091986,97.95129960767343,43.401060035780375,1584.9919557148344,1094.073799891234,490.9181558236003,30.972911506178292,21.286549707602337,29.08813508771427,0.0,1.6500000000000001,0.0494714680336481
422879e10f46682990de24d770e7f83d,484,26577.22,54.911611570247935,2.4693877551020407,2.716347780432312,293.94342762063224,54.911611570247935,10.982322314049588,73.16439439728352,4.017574805916058,401.7574805916058,401.7574805916057,803.5149611832115,11.858188157287197,29.14390244300148,102.308296840285,48.44038535592895,1245.2039452152749,933.7454055871852,311.4585396280896,25.0126528128084,17.285714285714285,25.423662319213935,0.0,1.6499999999999997,0.0494714680336481
99a4788cb24856965c36a24e339b6058,477,42049.66,88.15442348008386,1.8136882129277567,1.241568083915634,289.69217970049914,88.15442348008386,17.630884696016775,57.32529931071838,5.053478711559628,505.3478711559628,505.3478711559628,1010.6957423119256,5.420052636562972,18.11587012705727,75.44116943777564,34.08270229192216,1907.934559451927,1106.256065393509,801.678494058418,42.01813369787211,12.695817490494298,57.02009221383947,0.0,1.6500000000000004,0.0494714680336481
389d119b48cf3043d311335e499d9c6b,390,21336.79,54.70971794871795,2.0634920634920637,1.8148883314192592,236.85524126455906,54.70971794871795,10.941943589743591,65.79748016540346,3.5997615815855872,359.97615815855875,359.9761581585587,719.9523163171175,7.922876250775748,22.367320695220194,88.16480086062364,40.82161633347748,1212.6219796066387,806.643981321625,405.97799828501365,33.47935342691945,14.444444444444446,38.64337356483249,0.0,1.65,0.0494714680336481
368c6c730842d78016ad823897a372db,388,21056.8,54.2701030927835,2.1797752808988764,2.1839775963380257,235.6405990016639,54.2701030927835,10.854020618556701,65.89382766457612,3.576064820534655,357.6064820534655,357.6064820534656,715.2129641069312,9.534131621597592,24.792558587889726,90.68638625246585,42.481045453885656,1203.222361356502,818.6966253077849,384.52573604871714,31.95799449863999,15.258426966292134,31.971825815274418,0.0,1.6500000000000001,0.0494714680336481
53759a2ecddad2bb87a079a1f1519f73,373,20387.2,54.657372654155495,2.1686046511627906,2.133155783615257,226.53078202995007,54.657372654155495,10.9314745308311,64.37826027161465,3.518746562491856,351.8746562491856,351.8746562491856,703.7493124983712,9.312269523488382,24.492502081627915,88.87076235324257,41.50139965929571,1206.4128440980849,805.5461496186191,400.86669447946576,33.22798629346109,15.180232558139533,32.74740013805295,0.0,1.6499999999999997,0.0494714680336481
d1c427060a0f73f6b889a5c7c61f2ac4,332,45620.56,137.4113253012048,1.6938775510204083,1.046686231389636,201.630615640599,137.4113253012048,27.482265060240962,38.30601495889005,5.26368028250886,526.368028250886,526.3680282508859,1052.736056501772,4.5692979238044344,16.426440780947292,54.73245573983735,23.72230540324946,2849.0418138443956,1178.310713182974,1670.7311006614216,58.64185960847645,11.857142857142858,67.93947767521426,0.0,1.65,0.0494714680336481
53b36df67ebb7c41585e8d54d6772e08,321,37454.63,116.68109034267911,2.84070796460177,3.4371041893717322,194.95008319467553,116.68109034267911,23.336218068535825,40.87534893179173,4.769380281498923,476.93802814989226,476.9380281498923,953.8760562997845,15.004642810238165,34.88959856245056,75.76494749424228,35.44231727613403,2431.09684845092,1304.0276729599905,1127.0691754909294,46.36052143332303,19.88495575221239,19.806524338324607,0.0,1.6500000000000001,0.0494714680336481
154e7e31ebfa092203795c972e5804a6,274,6173.259999999999,22.530145985401457,1.4497354497354498,0.8081120852993379,166.40599001663892,22.530145985401457,4.5060291970802915,85.94141001625745,1.936272513857523,193.6272513857523,193.62725138575234,387.25450277150463,3.5278049551269746,13.675953103275123,99.61736311953257,46.4985099632557,533.8059147163486,403.15089490091134,130.6550198154373,24.476128160712527,10.148148148148149,88.7961663244165,0.0,1.65,0.0494714680336481
3dd2a17168ec895c781a9191c1e95ad7,272,40782.8,149.93676470588235,2.0606060606060606,1.4074912756231759,165.19134775374374,149.93676470588235,29.98735294117647,33.19247069378724,4.976771668421273,497.67716684212735,497.67716684212735,995.3543336842547,6.144388614856784,20.56863103909921,53.76110173288645,22.740623961750405,3081.330967994519,1179.6082836857115,1901.7226843088076,61.71757283011184,14.424242424242424,49.834087521682086,0.0,1.6500000000000001,0.0494714680336481
2b4609f8948be18874494203496bc318,255,22277.27,87.36184313725491,1.3350785340314135,0.6671028241661636,154.8668885191348,87.36184313725491,17.472368627450983,42.10351869356961,3.6782409956341087,367.82409956341087,367.82409956341087,735.6481991268217,2.9122304832266557,12.25778022144655,54.361298915016164,23.96398983001146,1824.6703070046656,786.5317636578575,1038.138543346808,56.8945819615485,9.345549738219894,108.02024247180913,0.0,1.6500000000000004,0.0494714680336481
