Category,Method,MAE,RMSE,MAPE
bed_bath_table,MA_3,84.88888888888887,101.25764717349058,13.216219851221636
bed_bath_table,Holt_Linear,150.58160597075516,166.11003804253613,23.074125428402535
health_beauty,MA_3,126.99999999999996,133.70074378584766,14.916294577429165
health_beauty,Holt_Linear,55.09942464625976,62.84568701533262,6.489264374808772
sports_leisure,MA_3,161.3333333333333,162.77796738707193,35.66910665774021
sports_leisure,Holt_Linear,148.3035124027075,151.86929782461738,32.92235495044191
